well_name,lon,lat,stratum_name,stratum_thickness,lith_thickness,ratio
well_A01,105.617803,31.514369,龙潭,186.82,7.25,0.0388074
well_A02,106.42735,28.769971,龙潭,85,1,0.0117647
well_A03,106.760052,30.245644,龙潭,218.93,13,0.0593797
well_A04,106.510137,30.253673,龙潭,157.13,10,0.0636416
well_A05,106.412722,30.028377,龙潭,139.86,12,0.0858001
well_A06,108.150553,30.745966,龙潭,151,1.5,0.0099338
well_A07,105.377309,29.729561,龙潭,165.6,2,0.0120773
well_A08,107.151856,30.614982,龙潭,119,2,0.0168067
well_A09,107.121785,30.62317,龙潭,113.39,3,0.0264574
well_A10,107.665306,29.956242,龙潭,98.34,1,0.0101688
well_A11,107.622828,30.367389,龙潭,105.79,2,0.0189054
well_A12,108.569755,30.216238,龙潭,87.92,1,0.011374
well_A13,106.812011,30.152608,龙潭,155.15,8.125,0.0523687
well_A14,106.873831,30.213334,龙潭,160.62,14.5,0.0902752
well_A15,106.736822,30.524452,龙潭,180.25,6,0.0332871
well_A16,105.919323,30.504266,龙潭,158.62,1,0.0063044
well_A17,106.091255,30.405841,龙潭,155.41,13,0.0836497
well_A18,105.494932,28.559772,龙潭,103.76,0.5,0.0048188
well_A19,105.334269,29.16516,龙潭,169,1.375,0.0081361
well_A20,105.920064,29.493028,龙潭,114.18,16,0.1401296
well_A21,106.294182,29.584326,龙潭,140.42,4,0.028486
well_A22,107.40794,31.252147,龙潭,160.17,2,0.0124867
well_A23,106.34456,31.301243,龙潭,136.89,1,0.0073051
well_A24,105.687781,30.320641,龙潭,152.77,2,0.0130916
well_A25,106.231523,31.098288,龙潭,120.5,1,0.0082988
well_A26,106.205681,31.022519,龙潭,123.58,5,0.0404596
well_A27,106.347739,31.029142,龙潭,124.72,10,0.0801796
well_A28,106.177915,31.190756,龙潭,98.28,1,0.010175
well_A29,106.090846,29.473552,龙潭,174.28,2.875,0.0164964
well_A30,107.081853,28.693765,龙潭,80.22,0.5,0.0062329
well_A31,108.083333,31.293028,龙潭,104.32,1,0.0095859
well_A32,106.022002,29.905186,龙潭,128,3,0.0234375
